initial_m1,initial_m2,e,w022,#orbits,L0,J0ADMx,J0ADMy,J0ADMz,initial-separation,final-mass,final-chi,peak-omega-22,peak-ampl-22,peak-luminosity-ergs-per-sec,final-kick
0.2,0.8,0.185,0.007390109739,3.88544240413201,0.580377347056925,0.0,0.0,0.580377347056925,11.330671478,0.9777435779,0.4757295285,0.321411836,0.246801768,1.3935834e+56,165.21
0.333333333333333,0.666666666666667,0.006,0.007390109739,9.35335228750004,0.889163750221594,0.0,0.0,0.889163750221594,11.3559761468,0.9612661971,0.6234977153,0.344717552,0.344451118,2.7676179e+56,146.99
0.285714285714286,0.714285714285714,0.6975,0.002463369913,0.819440628668035,0.604113993318486,0.0,0.0,0.604113993318486,24.6252729559,0.9838343235,0.5679369817,0.321239759,0.268514547,1.5954486e+56,193.94
0.411764705882353,0.588235294117647,0.9951,0.002463369913,0.244399554200143,0.0912567875753167,0.0,0.0,0.0912567875753167,24.6395398652,0.9897851461,0.0910217592,0.0235543159,0.422951564,2.1955803e+55,3.76
0.411764705882353,0.588235294117647,0.4671,0.002463369913,6.10545792910316,0.951677927571079,0.0,0.0,0.951677927571079,24.6395398652,0.9561635555,0.6713525701,0.356525538,0.377570723,3.3783466e+56,86.39
0.333333333333333,0.666666666666667,0.8,0.007390109739,0.618936475387904,0.398844451283379,0.0,0.0,0.398844451283379,11.3559761468,0.9809406162,0.3978791749,0.214143738,0.184405706,3.8667715e+54,0.97
0.25,0.75,0.84,0.002463369913,0.568860438005638,0.403354706294813,0.0,0.0,0.403354706294813,24.6190710447,0.9907329447,0.3946851094,0.236315216,0.181040098,4.6346028e+55,82.16
0.333333333333333,0.666666666666667,0.6636,0.002463369913,1.01152000161322,0.693121959116964,0.0,0.0,0.693121959116964,24.6320592593,0.9774100507,0.6363351755,0.366243799,0.328168429,2.48598e+56,189.49
0.5,0.5,0.414775,0.002463369913,8.94508657144257,1.02841994757164,0.0,0.0,1.02841994757164,24.6424534352,0.9517431076,0.6915307195,0.357871154,0.401318126,3.8455675e+56,0.0
0.428571428571429,0.571428571428571,0.21,0.007390109739,2.94536759101788,0.87320388795923,0.0,0.0,0.87320388795923,11.3651964446,0.955000762,0.6765134706,0.353853763,0.382462736,3.4434811e+56,70.17
0.5,0.5,0.99,0.002463369913,0.0857073973923396,0.134433980074718,0.0,0.0,0.134433980074718,24.6424534352,0.9893729833,0.1339360644,0.0342782852,0.452143345,2.4594886e+55,0.0
0.5,0.5,0.185,0.007390109739,3.41003981956121,0.905304081091307,0.0,0.0,0.905304081091307,11.3672709018,0.9508997624,0.6908829013,0.359023631,0.401991424,3.8665711e+56,0.0
0.125,0.875,0.6975,0.002463369913,0.905776221101719,0.323741080283691,0.0,0.0,0.323741080283691,24.5898658175,0.9942669966,0.3139768263,0.277318104,0.129734258,3.5586381e+55,91.87
0.2,0.8,0.58,0.007390109739,0.706555987903678,0.416635521062919,0.0,0.0,0.416635521062919,11.330671478,0.9863038554,0.4060349299,0.273735937,0.173632145,4.2314972e+55,68.41
0.166666666666667,0.833333333333333,0.51,0.002463369913,3.91341327819228,0.523230919933129,0.0,0.0,0.523230919933129,24.600895937,0.9817899925,0.4232401842,0.313086351,0.219758543,1.0979381e+56,164.19
0.0303030303030303,0.96969696969697,0.0009744467,0.012558638428543,13.167690051687,0.10769618283416,0.0,0.0,0.10769618283416,8.0,0.9978501818,0.0971244884,0.279972548,0.0423835585,4.1569331e+54,9.62
0.285714285714286,0.714285714285714,0.8775,0.002463369913,0.440001999586798,0.384436177566296,0.0,0.0,0.384436177566296,24.6252729559,0.9903121633,0.3777667168,0.232178505,0.180436345,4.1581376e+55,60.36
0.428571428571429,0.571428571428571,0.04,0.007390109739,7.6440428977452,0.962581989767275,0.0,0.0,0.962581989767275,11.3651964446,0.9536649939,0.6753015718,0.354941446,0.384037584,3.4793407e+56,73.35
0.375,0.625,0.6156,0.002463369913,1.2252398441601,0.782108272582753,0.0,0.0,0.782108272582753,24.6366063167,0.9661842901,0.6861503393,0.358696904,0.402161599,3.8565184e+56,122.78
0.142857142857143,0.857142857142857,0.6975,0.002463369913,0.647161596184042,0.362442969933588,0.0,0.0,0.362442969933588,24.594751465,0.993205148,0.3493451267,0.266885897,0.145701472,4.5673372e+55,109.91
0.5,0.5,0.5644,0.002463369913,1.67597024373071,0.887264268493197,0.0,0.0,0.887264268493197,24.6424534352,0.9471965554,0.7036044709,0.364410523,0.446469095,4.7248269e+56,0.0
0.5,0.5,0.285,0.007390109739,1.57654201806762,0.847946974017122,0.0,0.0,0.847946974017122,11.3672709018,0.9502418555,0.7009878137,0.364458605,0.420041632,4.3212941e+56,0.0
0.00775193798449612,0.992248062015504,0.0012790851,0.015143188619448,12.9046311487637,0.027458817909201,0.0,0.0,0.027458817909201,7.0,0.9995876663,0.0239231068,0.27462877,0.0115546722,3.3078737e+53,0.96
0.428571428571429,0.571428571428571,0.1,0.007390109739,5.62267411609901,0.932016003931972,0.0,0.0,0.932016003931972,11.3651964446,0.9535297511,0.6733513724,0.355886505,0.381604322,3.4249821e+56,73.13
0.375,0.625,0.36,0.002463369913,13.9102408680917,1.0091719646229,0.0,0.0,1.0091719646229,24.6366063167,0.9576925387,0.6489465065,0.350711304,0.361420097,3.0504225e+56,120.31
0.142857142857143,0.857142857142857,0.51,0.002463369913,3.72547729161047,0.461291052642749,0.0,0.0,0.461291052642749,24.594751465,0.9858096922,0.3835248515,0.297333794,0.197540479,8.5662353e+55,151.21
0.5,0.5,0.35,0.007390109739,1.18381482014507,0.808485717389334,0.0,0.0,0.808485717389334,11.3672709018,0.9572300212,0.7065967602,0.357101345,0.411974876,4.1016379e+56,0.0
0.5,0.5,0.6975,0.002463369913,0.795184044513019,0.739386890410985,0.0,0.0,0.739386890410985,24.6424534352,0.9751293337,0.682866725,0.351604404,0.349678972,2.771274e+56,0.0
